,geneid_symbol,S1,S2,S3,S4,S5,S6,I44,I51,I55,I69,geneid3,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000001.5_ Gnai3, Gnai3,7.240009,9.083511,7.217802,7.458625,7.600978,7.991116,13.817305,19.717506,11.638813,21.469334, Gnai3,380.5668946,0.691808638,0.118710736,5.827683847,5.62E-09,1.43E-07
ENSMUSG00000000028.16_ Cdc45, Cdc45,1.761299,1.098384,2.0362,1.152646,1.784237,1.921576,2.034542,2.981015,2.806942,1.792682, Cdc45,35.11379408,-0.14993657,0.260037461,-0.576596039,0.564212376,0.686671393
ENSMUSG00000000037.18_ Scml2, Scml2,0.093773,0.160682,0.16152,0.242212,0.035706,0.125561,0.231805,0.247437,1.541841,0.501255, Scml2,8.248771226,0.766672335,0.4475382,1.713088034,0.086696345,0.166289551
ENSMUSG00000000056.8_ Narf, Narf,32.762029,31.762822,30.017808,30.64468,30.52372,32.991876,23.852391,32.370773,34.901428,31.132691, Narf,1474.296774,-0.434000069,0.113157121,-3.835375679,0.000125373,0.000766978
ENSMUSG00000000058.7_ Cav2, Cav2,20.603416,18.066442,17.719724,18.056526,22.504348,20.789212,25.462875,23.582915,26.063187,27.498637, Cav2,630.89292,-0.018768059,0.123606858,-0.151836713,0.879315725,0.923482268
ENSMUSG00000000078.8_ Klf6, Klf6,11.646269,17.90283,14.84078,10.477225,19.954746,20.060565,21.314176,31.984853,18.793457,34.093511, Klf6,883.2930944,0.339310212,0.18553329,1.828837353,0.067423977,0.135717541
ENSMUSG00000000085.17_ Scmh1, Scmh1,24.432551,27.117467,19.74691,24.726135,23.837002,29.213318,27.739391,34.512432,24.423436,27.862592, Scmh1,608.8501737,-0.256061561,0.092534158,-2.767211233,0.005653811,0.018216137
ENSMUSG00000000088.8_ Cox5a, Cox5a,1193.246097,1129.52879,1148.138708,1301.32045,1196.784219,1261.255375,1268.402934,1135.776418,1191.065981,1020.624026, Cox5a,5582.778255,-0.445701602,0.129419217,-3.443859519,0.000573474,0.002702458
ENSMUSG00000000093.7_ Tbx2, Tbx2,3.217181,4.641391,2.90623,3.973093,3.304675,3.637159,4.837238,6.845076,4.705848,7.843312, Tbx2,175.786656,0.342129713,0.134022849,2.552771526,0.010686957,0.030548803
ENSMUSG00000000120.7_ Ngfr, Ngfr,0.161821,0.297976,0.158797,0.272489,0.23104,0.154728,0.688775,1.0965,0.511786,1.572507, Ngfr,17.24067933,1.75288441,0.381955087,4.589242214,4.45E-06,4.54E-05
ENSMUSG00000000126.12_ Wnt9a, Wnt9a,3.062319,4.007248,4.190889,3.377578,2.808229,2.417963,3.796215,4.445681,3.580066,4.694205, Wnt9a,130.2455432,-0.07205371,0.163736582,-0.440058716,0.659894582,0.765459031
ENSMUSG00000000127.16_ Fer, Fer,5.925864,6.532934,5.536802,4.897028,6.576404,6.798987,5.813326,7.103934,6.395401,8.365139, Fer,202.7270942,-0.222687092,0.117899575,-1.88878621,0.058920481,0.122104755
ENSMUSG00000000131.16_ Xpo6, Xpo6,17.214502,19.291894,17.398376,20.948275,13.221159,19.003414,15.096855,22.96074,19.156871,21.634982, Xpo6,874.9637015,-0.268836433,0.099016406,-2.715069598,0.006626184,0.020717691
ENSMUSG00000000134.18_ Tfe3, Tfe3,5.845971,6.975857,6.682757,7.176194,4.905168,7.084693,8.858984,12.635192,10.262578,13.603848, Tfe3,278.8787097,0.44210903,0.100893044,4.381957469,1.18E-05,0.000103073
ENSMUSG00000000142.16_ Axin2, Axin2,1.203914,2.645587,1.793902,2.736311,2.367182,2.100821,1.362939,2.809496,2.992807,2.847165, Axin2,81.31582926,0.051884098,0.195829399,0.2649454,0.791051523,0.863607094
ENSMUSG00000000148.18_ Brat1, Brat1,3.544425,4.422387,3.391858,4.732645,3.450245,4.183785,4.021386,6.832966,5.391279,6.839891, Brat1,165.7841922,0.111337776,0.132432861,0.840711094,0.400509804,0.535510814
ENSMUSG00000000149.11_ Gna12, Gna12,60.114187,59.312729,53.381128,64.701111,58.671615,63.494316,58.69816,73.38447,63.105035,77.967581, Gna12,2351.865312,-0.205677542,0.06891395,-2.984555991,0.002839902,0.010341977
ENSMUSG00000000168.11_ Dlat, Dlat,197.924478,163.322743,173.541024,198.691415,191.722053,181.746356,179.589096,175.328462,188.089974,154.486473, Dlat,5608.73689,-0.521220017,0.146874587,-3.548742015,0.000387076,0.001938338
ENSMUSG00000000171.6_ Sdhd, Sdhd,330.395876,323.821231,353.93118,403.741536,354.746373,384.115524,366.634606,378.531229,385.162654,340.495595, Sdhd,4215.561231,-0.342500431,0.118502387,-2.89024078,0.003849469,0.013245809
ENSMUSG00000000183.7_ Fgf6, Fgf6,0.21519,0.216036,0.211068,0.158191,0.279057,0.299061,0.547517,0.279317,0.317883,0.438382, Fgf6,15.07507857,0.4245451,0.367353979,1.155683956,0.247810453,0.375670102
ENSMUSG00000000184.13_ Ccnd2, Ccnd2,22.391798,20.266056,14.785695,18.475549,18.488195,17.262594,19.018444,19.833085,24.310855,27.331759, Ccnd2,1364.31058,-0.094934497,0.124450616,-0.762828664,0.445565584,0.579687405
ENSMUSG00000000194.14_ Gpr107, Gpr107,9.534996,9.388855,7.707266,8.974927,8.567126,10.794962,10.75141,13.524083,10.495731,15.693773, Gpr107,675.6450555,0.099239503,0.096420738,1.029234012,0.303369723,0.436428956
ENSMUSG00000000197.9_ Nalcn, Nalcn,0.125478,0.214057,0.13532,0.088821,0.143071,0.179706,0.196104,0.427037,0.158439,0.337191, Nalcn,15.39559265,0.496694619,0.365619819,1.35850026,0.174305,0.28722204
ENSMUSG00000000204.17_ Slfn4, Slfn4,0.074893,0.100283,0.024494,0.151351,0.110593,0.04773,3.300977,2.497866,0.545933,2.188906, Slfn4,32.96874598,4.303186466,0.544932225,7.896737007,2.86E-15,3.90E-13
ENSMUSG00000000244.18_ Tspan32, Tspan32,0.323253,0.922967,0.292239,0.289438,0.131906,0.020362,0.67437,1.272984,1.07176,1.527874, Tspan32,7.941645588,1.837659903,0.513802365,3.576589036,0.000348107,0.001773702
ENSMUSG00000000253.14_ Gmpr, Gmpr,70.653719,72.32807,71.372416,77.97856,65.399638,70.77046,70.931659,86.086888,77.508278,77.963805, Gmpr,1130.946934,-0.261682118,0.080257645,-3.260525732,0.001112059,0.004753535
ENSMUSG00000000266.12_ Mid2, Mid2,6.187909,5.042803,4.571593,5.311212,5.318957,5.84008,6.460327,7.766758,6.163417,8.90566, Mid2,372.7324669,0.081461035,0.112653874,0.723109043,0.469612894,0.602586379
ENSMUSG00000000275.17_ Trim25, Trim25,9.445505,12.916305,10.133367,12.438789,11.370916,11.870777,13.538624,17.073727,16.084192,20.528178, Trim25,822.3681558,0.186340815,0.080211212,2.323126787,0.020172342,0.051547655
ENSMUSG00000000276.12_ Dgke, Dgke,6.50021,5.651449,5.584499,6.474804,4.788478,6.090533,4.734431,7.795803,6.946523,4.89733, Dgke,421.6990447,-0.352087204,0.163578214,-2.152408904,0.031365163,0.073493706
ENSMUSG00000000278.11_ Scpep1, Scpep1,8.209583,16.792984,7.470576,8.66094,8.32231,9.295387,23.143248,35.972814,18.593549,40.977889, Scpep1,353.7883247,1.194262758,0.207549661,5.754106037,8.71E-09,2.07E-07
ENSMUSG00000000282.13_ Mnt, Mnt,3.933192,4.890703,6.118121,7.417733,5.826907,7.657504,5.962577,7.524665,7.752124,8.671541, Mnt,307.4204916,-0.034850228,0.172179812,-0.202406005,0.839599334,0.897809728
ENSMUSG00000000290.14_ Itgb2, Itgb2,2.5349,3.406323,2.612699,1.888258,1.901163,2.546188,14.064258,18.132709,4.555329,22.09891, Itgb2,206.2511772,2.126440508,0.295642875,7.192598533,6.36E-13,4.65E-11
ENSMUSG00000000295.14_ Hddc2, Hddc2,2.525782,2.179205,1.676954,2.366098,2.711179,2.598052,3.093203,2.890565,4.432994,4.846597, Hddc2,20.88732242,0.406254882,0.298354555,1.361651348,0.173307942,0.286046471
ENSMUSG00000000296.9_ Tpd52l1, Tpd52l1,5.409372,4.583619,6.820848,5.273896,6.752783,6.032592,5.475175,7.39681,6.196524,5.808778, Tpd52l1,58.62125578,-0.329238464,0.20557825,-1.601523816,0.109260949,0.200393263
ENSMUSG00000000301.17_ Pemt, Pemt,0.978524,1.590263,0.603855,1.457883,1.177815,0.702319,1.730586,1.071968,1.454945,2.744745, Pemt,10.58452757,0.216609914,0.42174397,0.513605242,0.607528014,0.722171215
ENSMUSG00000000305.13_ Cdh4, Cdh4,2.345974,1.057358,1.046806,0.965886,1.241574,1.113406,0.751198,1.122389,1.26724,1.101197, Cdh4,87.24467498,-0.804492976,0.295925492,-2.718565979,0.006556558,0.020563749
ENSMUSG00000000317.12_ Bcl6b, Bcl6b,7.662427,4.279281,5.767496,11.437539,9.670726,8.196319,11.949352,10.108488,12.198851,16.470573, Bcl6b,329.2035423,0.271372774,0.241721833,1.12266555,0.261579564,0.39107174
ENSMUSG00000000318.17_ Clec10a, Clec10a,1.581445,2.473612,1.428341,2.095592,1.438526,2.347955,5.03913,7.830132,3.261495,4.381389, Clec10a,40.44223086,0.933964569,0.229957556,4.061465014,4.88E-05,0.000340063
ENSMUSG00000000320.11_ Alox12, Alox12,2.229998,0.962978,2.232915,3.112549,2.279983,2.354515,2.783189,3.176553,3.106629,2.14273, Alox12,74.5374108,0.017433196,0.279457389,0.062382306,0.950258386,0.968355028
ENSMUSG00000000326.14_ Comt, Comt,120.273218,103.765287,86.061961,102.652106,97.351396,99.534228,94.117531,133.81469,126.619027,146.28491, Comt,1720.215497,-0.126132423,0.107380638,-1.174629101,0.240143136,0.367209036
ENSMUSG00000000339.15_ Rtca, Rtca,8.778189,13.763265,9.643227,14.753863,11.517379,12.114656,13.347448,19.206733,13.963317,15.981659, Rtca,204.9572404,0.013659424,0.141165322,0.096761894,0.922915486,0.951586475
ENSMUSG00000000340.11_ Dbt, Dbt,27.570256,26.073867,32.724954,30.001061,31.983973,31.771131,21.368217,26.543538,28.444282,20.266457, Dbt,976.1919147,-0.73668099,0.160314896,-4.595212359,4.32E-06,4.43E-05
ENSMUSG00000000346.10_ Dazap2, Dazap2,86.677356,110.608649,95.826982,97.136594,96.024067,107.490204,112.848271,141.1165,120.920362,135.328152, Dazap2,2222.45065,0.015083429,0.051873246,0.290774728,0.771223615,0.848786231
ENSMUSG00000000355.14_ Mcts1, Mcts1,24.554196,20.013392,26.389921,19.623641,24.58698,25.871701,30.36477,28.765731,24.733166,25.791487, Mcts1,147.6853751,-0.154863584,0.156515262,-0.989447178,0.322444402,0.455866074
ENSMUSG00000000359.4_ Rem1, Rem1,2.885379,3.449102,3.947566,4.44141,2.854426,3.84004,4.464563,5.32141,6.063785,5.776764, Rem1,67.64644349,0.134109064,0.173849283,0.771409935,0.440463988,0.575147698
ENSMUSG00000000374.9_ Trappc10, Trappc10,17.597272,18.053753,14.618644,16.461325,16.896736,17.541148,15.96068,18.593277,14.268949,19.162414, Trappc10,896.3280846,-0.371914455,0.07040357,-5.282607889,1.27E-07,2.13E-06
ENSMUSG00000000378.16_ Ccm2, Ccm2,17.869378,16.954999,17.273423,16.033738,14.858761,13.689687,21.648068,23.354774,15.579856,28.961879, Ccm2,284.031554,0.129394634,0.106606896,1.213754822,0.224841363,0.348342031
ENSMUSG00000000384.16_ Tbrg4, Tbrg4,43.437762,37.847264,39.297041,50.074572,40.223576,45.262489,43.370893,44.054167,43.47753,43.689887, Tbrg4,868.8473028,-0.359516461,0.116507928,-3.085768222,0.00203027,0.007867822
ENSMUSG00000000386.19_ Mx1, Mx1,0.497491,0.524814,0,0.249151,0.245455,0.303571,2.2748,2.720172,0.889935,2.284181, Mx1,24.00336295,3.02316554,0.479094127,6.310170323,2.79E-10,1.00E-08
ENSMUSG00000000392.18_ Fap, Fap,1.695178,1.601132,0.854341,2.311164,1.3897,2.577783,4.524876,8.260131,2.782217,8.964099, Fap,70.19703447,1.24892806,0.245005927,5.097542242,3.44E-07,4.89E-06
ENSMUSG00000000399.11_ Ndufa9, Ndufa9,343.38266,315.371204,364.753346,389.562394,366.747846,372.927533,322.306711,339.204221,333.284075,289.316751, Ndufa9,4860.457576,-0.561147563,0.12066355,-4.65051429,3.31E-06,3.53E-05
ENSMUSG00000000416.17_ Cttnbp2, Cttnbp2,0.213978,0.418509,0.338131,0.371519,0.443789,0.359797,0.58955,0.53224,0.423972,0.615215, Cttnbp2,22.39666199,0.144737595,0.291402485,0.496693071,0.61940551,0.732491993
ENSMUSG00000000420.16_ Galnt1, Galnt1,29.949587,33.833309,27.096647,27.8199,29.330267,28.608605,35.460049,41.978543,39.263525,43.745402, Galnt1,1264.603114,-0.058496194,0.08185728,-0.714611996,0.47484883,0.607074821
ENSMUSG00000000439.10_ Mkrn2, Mkrn2,10.5978,13.060422,12.409213,16.171062,17.705433,12.709112,12.052395,14.596405,18.325856,13.169227, Mkrn2,898.0990866,-0.258887366,0.089761356,-2.884173963,0.003924419,0.013454271
ENSMUSG00000000440.13_ Pparg, Pparg,6.021464,5.216396,5.472442,6.300852,5.608713,5.733429,6.481544,8.021073,6.631729,7.691526, Pparg,125.5301938,-0.049549817,0.132330808,-0.374439015,0.708077721,0.803575045
ENSMUSG00000000441.18_ Raf1, Raf1,49.811179,52.221502,49.449444,55.991312,51.1034,53.74902,50.958452,56.64966,61.354134,65.123512, Raf1,1558.752775,-0.262266496,0.07231542,-3.626702266,0.000287064,0.00151567
ENSMUSG00000000486.14_ Septin1, Septin1,2.302027,2.947355,1.466356,1.547267,0.913098,4.479554,4.914438,7.066203,7.228687,8.639315, Septin1,30.47193263,1.134979368,0.305324652,3.717287028,0.000201374,0.00113014
ENSMUSG00000000489.8_ Pdgfb, Pdgfb,14.453875,14.848588,19.192937,20.440436,16.535131,18.605666,23.64452,23.559223,23.208925,34.371241, Pdgfb,625.660642,0.2174373,0.125301841,1.735308108,0.082686246,0.160120634
ENSMUSG00000000530.17_ Acvrl1, Acvrl1,12.936168,16.509451,15.239228,16.470049,13.04845,16.302296,24.162639,31.760878,23.783912,47.319442, Acvrl1,544.7928177,0.711060403,0.133736466,5.316877456,1.06E-07,1.81E-06
ENSMUSG00000000531.6_ Tamalin, Tamalin,5.218304,5.928532,5.032878,7.020406,5.855866,6.15781,7.62005,8.240053,8.49383,7.926171, Tamalin,139.9795272,0.083110445,0.137572187,0.604122441,0.545762241,0.670252269
ENSMUSG00000000532.12_ Acvr1b, Acvr1b,7.52895,8.472793,8.967815,7.944184,7.692019,7.846618,6.6581,11.291284,8.123632,10.986289, Acvr1b,416.9962782,-0.210686799,0.109895922,-1.917148464,0.055219073,0.115808998
ENSMUSG00000000538.19_ Tom1l2, Tom1l2,49.540856,60.639142,52.025482,60.417283,54.849025,63.828194,50.37104,67.272363,65.253909,63.175833, Tom1l2,2502.004676,-0.259750062,0.072872321,-3.564454366,0.000364614,0.001842038
ENSMUSG00000000552.11_ Zfp385a, Zfp385a,7.906654,9.865944,7.949152,7.110082,7.45254,7.369544,9.943188,13.773404,10.06873,17.697029, Zfp385a,225.0103336,0.298001132,0.13198508,2.257839537,0.023955665,0.05923235
ENSMUSG00000000555.9_ Itga5, Itga5,17.012056,20.878033,18.822327,16.522105,17.156371,20.43315,30.767017,43.350565,23.658651,53.175099, Itga5,1113.695376,0.676530418,0.131519527,5.143954172,2.69E-07,3.97E-06
ENSMUSG00000000561.15_ Wdr77, Wdr77,14.236805,17.686884,17.697543,17.477146,18.535121,18.460548,17.918156,24.382815,16.018094,19.70501, Wdr77,511.2688882,-0.06306357,0.090579148,-0.696226129,0.486287227,0.617749478
ENSMUSG00000000563.18_ Atp5pb, Atp5pb,631.879968,553.080293,631.053298,630.729397,609.393408,631.208394,651.564643,586.453834,598.217972,455.9783, Atp5pb,9022.909513,-0.464681825,0.146051281,-3.181634707,0.001464464,0.005975451
ENSMUSG00000000567.6_ Sox9, Sox9,0.510365,1.292276,0.565979,0.717622,0.50661,0.615001,3.142619,4.314402,1.422738,8.853322, Sox9,86.58436496,2.222154084,0.371791902,5.976875964,2.27E-09,6.45E-08
ENSMUSG00000000568.16_ Hnrnpd, Hnrnpd,28.760174,27.922259,32.206951,27.193072,30.11367,32.741587,35.638192,38.900839,34.271741,37.016529, Hnrnpd,624.8526984,-0.074978586,0.110810341,-0.676638887,0.4986351,0.628507466
ENSMUSG00000000579.15_ Dynlt1c, Dynlt1c,3.152902,3.877363,5.946309,4.167956,4.808204,3.496332,5.053829,8.264308,6.676164,7.106358, Dynlt1c,73.91666607,0.24573314,0.185344267,1.325820025,0.184899318,0.300673538
ENSMUSG00000000581.9_ C1d, C1d,14.736748,11.698627,9.149217,20.354591,16.437262,11.607017,10.892039,15.744466,18.700417,16.392609, C1d,243.1575173,0.084626911,0.112457128,0.752525988,0.451734808,0.585606974
ENSMUSG00000000594.8_ Gm2a, Gm2a,4.180283,6.787297,4.231792,4.786506,4.526615,4.887678,9.172714,12.872232,6.787041,16.272942, Gm2a,318.8752377,0.789672374,0.171562059,4.602838046,4.17E-06,4.30E-05
ENSMUSG00000000600.16_ Krit1, Krit1,13.847585,13.637961,14.485787,12.259013,13.270197,14.217534,15.329397,18.707755,14.994046,16.813647, Krit1,508.0675294,-0.068770903,0.087402473,-0.786830174,0.431381287,0.566731003
ENSMUSG00000000605.10_ Clcn4, Clcn4,23.425127,29.599268,23.018787,25.564561,25.234147,24.47288,23.811103,31.73961,27.750828,36.854524, Clcn4,1284.792413,-0.155809834,0.062742933,-2.483304934,0.013016961,0.035828753
ENSMUSG00000000627.16_ Sema4f, Sema4f,0.179785,0.112827,0.154327,0.204404,0.171032,0.221961,0.240563,0.469049,0.202951,0.881547, Sema4f,11.55424576,0.965981836,0.458772159,2.10558077,0.035240784,0.080926026
ENSMUSG00000000628.11_ Hk2, Hk2,67.519135,61.254833,63.315437,78.357304,70.16779,70.900815,55.340828,57.964331,65.553776,61.042787, Hk2,3956.668657,-0.58372742,0.116605862,-5.00598691,5.56E-07,7.43E-06
ENSMUSG00000000631.21_ Myo18a, Myo18a,115.793388,106.406081,104.19353,112.850965,105.062262,95.519686,91.94368,94.864822,101.719976,97.770829, Myo18a,4005.673881,-0.431162857,0.091806971,-4.696406513,2.65E-06,2.93E-05
ENSMUSG00000000632.14_ Sez6, Sez6,0.557587,0.029093,0.346448,1.024214,0.055148,0.27038,0.313221,0.304574,0.026178,0.152253, Sez6,8.627814406,-0.614572714,0.755117661,-0.813876757,0.415715557,0.550786352
ENSMUSG00000000682.8_ Cd52, Cd52,9.071212,6.630229,5.509828,5.786039,3.517107,5.109345,33.625553,48.591769,19.187458,71.821422, Cd52,55.52347905,2.402702366,0.330993141,7.259069958,3.90E-13,3.06E-11
ENSMUSG00000000686.12_ Abhd15, Abhd15,1.107592,2.226129,0.982264,1.840003,1.327709,1.67545,1.090074,2.671056,1.648426,2.165138, Abhd15,46.43861618,-0.096252041,0.260623735,-0.369314179,0.711893558,0.806788083
ENSMUSG00000000693.11_ Loxl3, Loxl3,2.083482,5.11423,2.447556,2.910548,2.604277,2.955338,13.636586,29.212258,6.554317,39.772121, Loxl3,337.9165202,2.45941113,0.29337582,8.383141903,5.15E-17,1.23E-14
ENSMUSG00000000708.15_ Kat2b, Kat2b,29.195856,27.788941,24.015966,27.861975,26.609036,28.0269,24.781087,31.550893,27.678884,27.56056, Kat2b,1333.596437,-0.312789143,0.089231983,-3.505347887,0.000456011,0.002223244
ENSMUSG00000000711.4_ Rab5b, Rab5b,31.89472,40.111344,35.504518,33.945562,31.704311,35.937223,31.926553,45.061565,40.366916,38.831496, Rab5b,1245.935037,-0.222154195,0.088103961,-2.521500663,0.011685546,0.03285385
ENSMUSG00000000732.10_ Icosl, Icosl,4.207805,9.708149,5.564849,4.765225,3.646258,4.539049,5.112844,5.869022,5.739936,7.226191, Icosl,154.7491549,-0.160119701,0.209187693,-0.765435574,0.444012217,0.578143725
ENSMUSG00000000738.19_ Spg7, Spg7,48.81201,48.466013,47.69848,55.948278,56.044567,49.121941,42.082135,56.166577,53.982796,55.705804, Spg7,1274.518156,-0.35347077,0.09920207,-3.563139052,0.000366446,0.001848447
ENSMUSG00000000739.15_ Sult5a1, Sult5a1,0.862818,1.507679,0.317009,0.309992,0.046146,0.568796,0.376122,1.074032,2.041113,2.60113, Sult5a1,10.1383825,1.296071516,0.584177942,2.218624536,0.026512279,0.064258823
ENSMUSG00000000740.13_ Rpl13, Rpl13,427.985912,511.306024,428.755966,475.223922,459.048557,466.289014,639.354265,748.107656,533.108047,815.561334, Rpl13,3350.667341,0.162662057,0.073489008,2.21342023,0.026868687,0.064870808
ENSMUSG00000000743.10_ Chmp1a, Chmp1a,33.871449,37.156921,32.634339,39.116861,33.023724,33.792083,39.28011,50.364758,42.37393,63.33733, Chmp1a,822.1646477,0.032163501,0.070496613,0.456241794,0.648216114,0.756396374
ENSMUSG00000000751.14_ Rpa1, Rpa1,29.16741,29.033771,34.336024,30.301634,28.084064,34.845988,26.824489,37.781416,29.980909,41.162616, Rpa1,660.8316001,-0.291049637,0.087745368,-3.316980081,0.000909961,0.004013994
ENSMUSG00000000753.16_ Serpinf1, Serpinf1,22.324163,59.321495,20.91766,15.564422,12.711261,18.438835,88.303156,178.60761,43.445126,179.270344, Serpinf1,680.8860868,1.942609579,0.447875723,4.337385309,1.44E-05,0.000121955
ENSMUSG00000000759.15_ Tubgcp3, Tubgcp3,8.606592,8.689543,8.673694,7.887197,7.742185,9.622621,8.28026,12.483557,9.852128,13.594327, Tubgcp3,329.0068709,-0.049295948,0.104473367,-0.471851817,0.637032562,0.747036211
ENSMUSG00000000776.14_ Polr3d, Polr3d,7.955286,6.847382,9.437479,9.042145,8.188048,6.96186,11.270955,11.516097,12.143042,15.791854, Polr3d,183.5032318,0.131946883,0.136374999,0.967529856,0.333279223,0.466854431
ENSMUSG00000000782.17_ Tcf7, Tcf7,0.23279,0.55121,0.327574,0.545173,0.221894,0.687617,0.661053,0.652823,0.259868,0.566945, Tcf7,10.22276618,0.166308364,0.432124748,0.384861928,0.700339714,0.797139577
ENSMUSG00000000787.13_ Ddx3x, Ddx3x,37.623544,39.901294,34.704505,39.125168,39.963879,39.868363,46.165818,55.945411,51.615096,59.20425, Ddx3x,2205.1487,0.068561945,0.066257524,1.034779755,0.30077178,0.433643246
ENSMUSG00000000794.10_ Kcnn3, Kcnn3,0.259202,0.476909,0.115309,0.250302,0.372606,0.30964,0.377955,0.500262,0.347124,1.312296, Kcnn3,27.14851725,1.024886541,0.368140076,2.783958085,0.005369997,0.017473483
ENSMUSG00000000804.15_ Usp32, Usp32,5.538978,6.788469,6.188494,6.65821,7.59961,6.813426,6.855821,8.9293,8.429944,9.354521, Usp32,553.2283331,-0.114354338,0.091619235,-1.248147707,0.21197697,0.333375489
ENSMUSG00000000805.19_ Car4, Car4,27.049311,36.937241,37.070575,39.950824,31.412892,36.527842,28.729793,34.77263,43.93024,25.307544, Car4,399.7511223,-0.454928657,0.181379806,-2.508154941,0.012136344,0.033838253
ENSMUSG00000000811.15_ Txnrd3, Txnrd3,8.031752,7.400501,5.790974,8.650097,5.523781,6.345393,6.731073,7.290177,7.50477,8.786857, Txnrd3,219.5958764,-0.263784635,0.145921474,-1.807716361,0.070650657,0.140807253
ENSMUSG00000000823.17_ Zfp512b, Zfp512b,12.575935,8.439665,8.092302,9.499918,11.201178,10.696613,9.69706,13.782557,13.552756,17.285426, Zfp512b,399.7055796,0.035432754,0.114639693,0.309079282,0.757261219,0.838371695
ENSMUSG00000000826.17_ Dnajc5, Dnajc5,19.637626,22.657796,23.342516,23.778259,20.849409,23.402571,22.409609,33.228017,26.780075,34.895578, Dnajc5,1165.986482,0.027760707,0.063185322,0.439353735,0.660405244,0.765848098
ENSMUSG00000000827.19_ Tpd52l2, Tpd52l2,35.444007,37.893893,30.652427,39.234944,39.206543,33.187886,31.041633,44.487132,41.480887,49.670077, Tpd52l2,506.8210721,-0.043499402,0.078398456,-0.554850235,0.578997104,0.698884941
ENSMUSG00000000838.18_ Fmr1, Fmr1,4.541592,6.224677,5.046507,3.820013,4.852329,6.125136,5.545621,8.152208,8.665022,10.75239, Fmr1,224.9297625,0.351567933,0.111090219,3.164706455,0.001552395,0.006260878
ENSMUSG00000000861.16_ Bcl11a, Bcl11a,1.137941,0.762204,1.068223,1.441725,1.290299,1.300572,0.885853,1.043396,1.842227,1.263933, Bcl11a,51.23608963,-0.291809915,0.214707816,-1.359102431,0.174114133,0.287110714
ENSMUSG00000000876.12_ Pxmp4, Pxmp4,21.614375,24.472492,20.605753,22.399611,17.045547,19.697938,20.936986,24.295378,20.375192,17.56618, Pxmp4,436.9850113,-0.383726628,0.130742739,-2.934974689,0.003335749,0.011806606
ENSMUSG00000000881.13_ Dlg3, Dlg3,1.611013,3.358487,2.027892,2.249094,1.341446,2.09121,2.598233,3.575747,5.157429,4.542514, Dlg3,100.1731094,0.274965973,0.192878059,1.425594875,0.153985316,0.261056188
ENSMUSG00000000884.18_ Gnb1l, Gnb1l,1.532747,1.045471,1.256188,1.052663,0.915837,1.552048,1.730791,2.408757,0.875922,1.88324, Gnb1l,29.16816645,0.076319541,0.30957897,0.246526891,0.80527439,0.873863692
ENSMUSG00000000889.9_ Dbh, Dbh,0.561517,1.203949,0.514635,0.60475,0.428117,0.53747,0.308735,0.288118,0.135491,0.546211, Dbh,14.26951209,-1.412076434,0.431184119,-3.274880435,0.001057067,0.004558602
ENSMUSG00000000901.18_ Mmp11, Mmp11,3.869879,4.023174,3.140733,6.283199,4.044713,3.789674,6.26039,13.400826,8.775981,11.241316, Mmp11,121.6555024,0.845885446,0.165395156,5.114330226,3.15E-07,4.53E-06
ENSMUSG00000000902.14_ Smarcb1, Smarcb1,9.371251,12.354218,10.119497,10.20582,7.95401,10.358563,18.128121,19.652645,13.613821,25.915581, Smarcb1,246.7386294,0.576603071,0.129037403,4.468495641,7.88E-06,7.38E-05
ENSMUSG00000000915.16_ Hip1r, Hip1r,5.86988,5.684275,5.398817,6.071458,5.121593,5.184593,6.483908,7.091756,8.535212,10.865487, Hip1r,442.320138,0.011280046,0.092541553,0.121891692,0.902984795,0.938268262
ENSMUSG00000000916.16_ Nsun5, Nsun5,6.711432,10.299616,8.135156,8.533428,6.119121,7.788969,9.325683,11.114967,8.466486,10.604386, Nsun5,169.3886487,-0.032981009,0.121229065,-0.272055292,0.785579505,0.859319759
ENSMUSG00000000934.10_ Top1mt, Top1mt,2.970416,3.810193,3.124521,2.470774,3.134472,4.229709,3.960271,2.69547,3.02367,3.924483, Top1mt,63.89980802,-0.276227366,0.198177321,-1.393839439,0.163366096,0.273319234
ENSMUSG00000000948.17_ Gm38393, Gm38393,1.449605,1.885027,1.405394,1.254129,1.610552,1.881669,1.485855,0.873299,2.428491,0.419306, Gm38393,61.08806967,-0.467023762,0.386735387,-1.207605453,0.227199061,0.351123386
ENSMUSG00000000957.12_ Mmp14, Mmp14,6.972144,9.850109,6.623904,7.426409,5.734246,5.83614,41.988544,67.18627,26.065699,102.865049, Mmp14,658.6629906,2.63268925,0.247002447,10.65855534,1.59E-26,4.17E-23
ENSMUSG00000000958.11_ Slc7a7, Slc7a7,1.367735,9.017671,1.971598,2.278866,0.688775,1.047299,3.202013,4.824147,2.300627,5.226928, Slc7a7,59.24593815,0.39463309,0.688772283,0.572951467,NA,NA
ENSMUSG00000000959.8_ Oxa1l, Oxa1l,39.276536,46.738849,49.826674,55.465448,44.143261,47.584182,49.650376,46.509,50.368529,51.809118, Oxa1l,1139.449569,-0.346824496,0.112248134,-3.089801887,0.0020029,0.007775548
