,geneid_symbol,S1,S2,S3,S4,S5,S6,I44,I51,I55,I69,geneid3,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000002455.15_ Prpf6, Prpf6,14.443101,17.522356,16.593864,19.443608,16.61362,18.307173,16.188293,21.820326,18.773425,22.973773, Prpf6,597.8939084,-0.178078375,0.086577111,-2.056875906,0.039698164,0.089178021
ENSMUSG00000002458.14_ Rgs19, Rgs19,3.060423,2.762103,2.575248,2.846105,3.603496,2.359874,7.667486,10.736538,7.627442,15.11948, Rgs19,61.69749904,1.174293257,0.224758943,5.224678673,1.74E-07,2.77E-06
ENSMUSG00000002475.17_ Abhd3, Abhd3,2.214032,1.923316,2.027571,2.030635,1.729103,2.121977,3.409039,2.214815,1.961145,2.488132, Abhd3,42.21939867,-0.243615103,0.201727432,-1.207644889,0.227183885,0.351123386
ENSMUSG00000002477.6_ Snrpd1, Snrpd1,8.702634,9.287821,8.622883,9.643762,10.023924,11.846798,18.795738,15.624081,8.817351,17.049636, Snrpd1,77.28355507,0.329088784,0.212944939,1.545417258,0.122245369,0.218819877
ENSMUSG00000002486.16_ Tchp, Tchp,4.119732,5.088699,3.753107,3.6112,3.344307,4.507516,5.103801,5.398955,6.01552,5.357475, Tchp,118.4725056,-0.17579189,0.148612364,-1.182888728,0.23685325,0.363005156
ENSMUSG00000002489.17_ Tiam1, Tiam1,1.898211,1.395879,1.035491,1.016224,1.157063,1.006955,2.207568,4.221432,1.864989,4.815429, Tiam1,115.9732329,1.005913191,0.227994261,4.412011005,1.02E-05,9.15E-05
ENSMUSG00000002496.11_ Tsc2, Tsc2,41.949053,46.308378,42.045581,45.445903,44.148847,52.476166,40.785544,51.828477,47.518828,59.028651, Tsc2,2247.670122,-0.307196223,0.077250964,-3.976600521,6.99E-05,0.000467357
ENSMUSG00000002500.16_ Rpl3l, Rpl3l,193.549946,165.875156,201.737451,238.262385,209.948867,218.165892,177.041348,146.2611,193.893688,121.193465, Rpl3l,2529.008239,-0.72227583,0.186376923,-3.875350115,0.000106472,0.000668506
ENSMUSG00000002504.16_ Nherf2, Nherf2,49.940459,62.136367,56.529551,63.146395,60.565199,55.908114,67.252285,68.800251,74.461074,83.703506, Nherf2,1229.928019,-0.056609942,0.090712523,-0.624058733,0.532589014,0.659057741
ENSMUSG00000002524.18_ Puf60, Puf60,38.265154,42.438043,44.101626,42.030405,39.832459,39.699644,44.312763,57.207167,46.974571,65.497329, Puf60,812.2514175,-0.010565366,0.069208065,-0.152660911,0.878665688,0.92321803
ENSMUSG00000002546.18_ Golga2, Golga2,27.76041,36.857522,30.282103,32.956705,27.737779,32.025437,29.251202,36.386916,36.287556,39.047504, Golga2,1423.524297,-0.268698172,0.070199751,-3.827622838,0.000129387,0.000786763
ENSMUSG00000002550.17_ Uck1, Uck1,10.120228,14.772608,9.553212,15.371544,11.607287,11.941215,12.954558,19.468584,14.713892,18.505165, Uck1,246.7393331,0.054893806,0.115431417,0.475553427,0.634392562,0.744845903
ENSMUSG00000002565.17_ Scin, Scin,1.19312,1.009425,1.263617,0.697701,0.926947,1.471717,1.319795,1.104309,1.33424,2.148432, Scin,39.71933949,0.03158529,0.261112065,0.120964499,0.903719154,0.938659334
